"","X","Y","month","day","FFMC","DMC","DC","ISI","temp","RH","wind","rain"
"1",9,9,"feb","fri",86.6,13.2,43,5.3,15.7,43,3.1,0
"2",8,6,"aug","sun",90.2,99.6,631.2,6.3,16.2,59,3.1,0
"3",2,2,"sep","fri",92.4,117.9,668,12.2,19.6,33,6.3,0
"4",8,6,"aug","sat",93.7,231.1,715.1,8.4,26.9,31,3.6,0
"5",7,4,"sep","mon",91.6,108.4,764,6.2,19.3,44,2.2,0
"6",2,2,"aug","tue",92.1,152.6,658.2,14.3,23.7,24,3.1,0
"7",4,5,"sep","sat",92.5,88,698.6,7.1,20.3,45,3.1,0
"8",4,3,"sep","fri",92.5,122,789.7,10.2,17.3,45,4,0
"9",8,6,"aug","sun",91.4,142.4,601.4,10.6,19.6,41,5.8,0
"10",1,4,"aug","sat",90.2,96.9,624.2,8.9,14.2,53,1.8,0
"11",1,3,"sep","sun",92.4,124.1,680.7,8.5,23.9,32,6.7,0
"12",2,2,"aug","thu",91.6,248.4,753.8,6.3,20.4,56,2.2,0
"13",6,4,"sep","tue",91,129.5,692.6,7,18.7,43,2.7,0
"14",2,4,"aug","thu",91.6,248.4,753.8,6.3,16.6,59,2.7,0
"15",3,4,"mar","tue",88.1,25.7,67.6,3.8,15.8,27,7.6,0
"16",8,3,"sep","tue",84.4,73.4,671.9,3.2,24.2,28,3.6,0
"17",4,5,"sep","thu",92.9,137,706.4,9.2,22.1,34,1.8,0
"18",1,4,"sep","fri",92.5,122,789.7,10.2,21.1,39,2.2,0
"19",6,5,"sep","tue",91.9,111.7,770.3,6.5,19.6,45,3.1,0
"20",4,4,"oct","sat",90.6,43.7,686.9,6.7,18.4,25,3.1,0
"21",6,5,"mar","sat",91.7,35.8,80.8,7.8,17.4,25,4.9,0
"22",4,5,"sep","fri",94.3,85.1,692.3,15.9,17.7,37,3.6,0
"23",8,6,"mar","fri",91.7,33.3,77.5,9,8.3,97,4,0.2
"24",5,4,"aug","tue",95.1,141.3,605.8,17.7,24.1,43,6.3,0
"25",7,5,"oct","mon",91.7,48.5,696.1,11.1,16.1,44,4,0
"26",7,4,"sep","sun",92.4,105.8,758.1,9.9,25.3,27,2.7,0
"27",9,4,"jul","mon",92.3,92.1,442.1,9.8,22.8,27,4.5,0
"28",2,4,"aug","sun",91.8,175.1,700.7,13.8,22.4,54,7.6,0
"29",6,3,"sep","fri",92.5,122,789.7,10.2,15.9,55,3.6,0
"30",5,4,"sep","wed",92.9,133.3,699.6,9.2,21.9,35,1.8,0
"31",1,4,"sep","mon",91.5,130.1,807.1,7.5,21.3,35,2.2,0
"32",7,4,"oct","sat",90.6,43.7,686.9,6.7,14.6,33,1.3,0
"33",3,4,"sep","sun",90.5,96.7,750.5,11.4,20.6,55,5.4,0
"34",5,4,"feb","sun",86.8,15.6,48.3,3.9,12.4,53,2.2,0
"35",8,6,"mar","fri",91.7,35.8,80.8,7.8,17.4,24,5.4,0
"36",2,4,"sep","sun",92.4,105.8,758.1,9.9,16,45,1.8,0
"37",6,5,"sep","sat",87.1,291.3,860.6,4,17,67,4.9,0
"38",5,6,"aug","sun",91.6,181.3,613,7.6,24.3,33,3.6,0
"39",8,6,"aug","sun",92.3,85.3,488,14.7,22.2,29,5.4,0
"40",6,5,"sep","wed",92.9,133.3,699.6,9.2,26.4,21,4.5,0
"41",1,4,"jul","tue",92.3,96.2,450.2,12.1,23.4,31,5.4,0
"42",8,6,"aug","sun",94.9,130.3,587.1,14.1,31,27,5.4,0
"43",4,6,"mar","mon",87.2,23.9,64.7,4.1,14,39,3.1,0
"44",4,3,"aug","wed",94.5,139.4,689.1,20,28.9,29,4.9,0
"45",3,4,"sep","tue",84.4,73.4,671.9,3.2,17.9,45,3.1,0
"46",6,3,"sep","mon",88.6,91.8,709.9,7.1,11.2,78,7.6,0
"47",9,9,"aug","fri",94.8,227,706.7,12,25,36,4,0
"48",2,4,"jan","sat",82.1,3.7,9.3,2.9,5.3,78,3.1,0
"49",6,5,"apr","mon",87.9,24.9,41.6,3.7,10.9,64,3.1,0
"50",4,3,"mar","mon",87.6,52.2,103.8,5,11,46,5.8,0
"51",3,4,"mar","sat",91.7,35.8,80.8,7.8,15.2,27,4.9,0
"52",3,6,"jun","fri",91.1,94.1,232.1,7.1,19.2,38,4.5,0
"53",3,4,"sep","tue",91,129.5,692.6,7,13.9,59,6.3,0
"54",7,4,"aug","sat",93.5,139.4,594.2,20.3,23.7,32,5.8,0
"55",7,4,"aug","fri",94.8,227,706.7,12,23.3,34,3.1,0
"56",2,4,"aug","mon",93.6,97.9,542,14.4,28.3,32,4,0
"57",1,5,"sep","sun",93.5,149.3,728.6,8.1,27.8,27,3.1,0
"58",8,5,"sep","sun",89.7,90,704.4,4.8,17.8,67,2.2,0
"59",1,3,"aug","sat",92.1,178,605.3,9.6,23.3,40,4,0
"60",8,6,"aug","mon",91.5,145.4,608.2,10.7,8,86,2.2,0
