"","ChemicalX"
"1",1.4
"2",0.4
"3",0.8
"4",1.2
"5",2.2
"6",1.8
"7",2.5
"8",0.6
"9",0.1
"10",0.1
"11",0
"12",0.6
"13",2.2
"14",1
"15",0.7
"16",0.4
"17",1
"18",1.2
"19",2
"20",1.3
"21",2.4
"22",1.4
"23",1.9
"24",0.9
"25",2.3
"26",2.3
"27",2.4
"28",0.9
"29",0.5
"30",1.1
"31",0
"32",1
"33",1.2
"34",2.1
"35",2
"36",0.1
"37",1.7
"38",2.3
"39",2.3
"40",0.2
"41",1.5
"42",0.9
"43",0.8
"44",2.1
"45",0
"46",0.5
"47",1.9
"48",1.6
"49",0.9
"50",0.8
"51",1.4
"52",1.7
"53",0.2
"54",2.5
"55",1.6
"56",1.7
"57",0.6
"58",1.1
"59",0
"60",1.5
"61",0.6
"62",2.1
"63",0.2
"64",0.7
"65",2.4
"66",2.5
"67",1.6
"68",0.3
"69",0.2
"70",1.1
"71",0.6
"72",0.7
"73",1
"74",1.9
"75",1.2
"76",1.9
"77",0.4
"78",1
"79",1.4
"80",0
"81",0.7
"82",0.2
"83",0.6
"84",1.3
"85",0.7
"86",2
"87",2.4
"88",1.6
"89",0.7
"90",0.4
"91",1.4
"92",1.8
"93",1.2
"94",2.5
"95",2.5
"96",0.5
"97",2.2
"98",1.1
"99",1.3
"100",2.1
"101",0.8
"102",1
"103",1.4
"104",0.3
"105",1.4
"106",1
"107",1.7
"108",0.7
"109",0.9
"110",0.4
"111",2.2
"112",2.4
"113",2.4
"114",1
"115",2
"116",2.2
"117",0.6
"118",1.8
"119",0.4
"120",0.7
"121",1
"122",1.2
"123",1.6
"124",1.3
"125",0
"126",0.9
"127",0.3
"128",0.8
"129",1.2
"130",1.1
"131",0.7
"132",1.5
"133",1.3
"134",1.4
"135",1.8
"136",0
"137",2.5
"138",0.5
"139",0.1
"140",1.8
"141",1.5
"142",2.1
"143",2.2
"144",0.7
"145",1.7
"146",1.7
"147",0.7
"148",0.4
"149",1.2
"150",0.1
"151",2.2
"152",1.3
"153",1.8
"154",1.5
"155",2.3
"156",1
"157",1.9
"158",2.4
"159",2
"160",2.4
"161",2.2
"162",0.5
"163",2.5
"164",1.9
"165",2
"166",1.1
"167",1.3
"168",1.3
"169",1.4
"170",1
"171",0.7
"172",1.2
"173",2.2
"174",1.9
"175",0.3
"176",2
"177",0.6
"178",2
"179",1.7
"180",0.8
"181",0.4
"182",0.8
"183",2.1
"184",0.9
"185",0.7
"186",2.2
"187",1.6
"188",1.8
"189",0.7
"190",1.8
"191",0.7
"192",0.7
"193",2
"194",0.3
"195",1.7
"196",2
"197",0
"198",2.4
"199",1
"200",0.6
"201",0
"202",0.2
"203",0
"204",0.3
"205",1.8
"206",1.8
"207",1.5
"208",1.2
"209",0.4
"210",1.8
"211",1.5
"212",0.5
"213",1
"214",1.9
"215",0.1
"216",0.1
"217",0.5
"218",1.5
"219",0.5
"220",2.4
"221",1.2
"222",2.1
"223",1
"224",0.4
"225",0.2
"226",0.5
"227",1.9
"228",2
"229",2.3
"230",1.8
"231",1.4
"232",1.8
"233",0.2
"234",0.9
"235",0.3
"236",1.3
"237",1
"238",2.4
"239",1.4
"240",1.6
"241",1.1
"242",0.9
"243",1
"244",0.4
"245",0.9
"246",0.2
"247",2.1
"248",1.7
"249",0.1
"250",2.2
"251",0.6
"252",0.1
"253",2.2
"254",0.2
"255",0
"256",1.9
"257",0.3
"258",2
"259",1.5
"260",2.1
"261",1
"262",1
"263",2.2
"264",1
"265",0.4
"266",1.5
"267",2.2
"268",1.7
"269",0.8
"270",2.5
"271",2.2
"272",0.2
"273",0.3
"274",0.7
"275",0.5
"276",1
"277",1.7
"278",0.8
"279",1.6
"280",0.6
"281",0.5
"282",1.3
"283",2.5
"284",0.8
"285",0.9
"286",1.7
"287",1.7
"288",0.7
"289",2
"290",1.7
"291",0.7
"292",0.9
"293",0.2
"294",1.3
"295",1.6
"296",0.7
"297",2
"298",2
"299",0.8
"300",2.1
"301",1
"302",1.5
"303",0.4
"304",2.3
"305",0.2
"306",1
"307",2.1
"308",1.8
"309",1.7
"310",2.2
"311",1.3
"312",2
"313",0.3
"314",1.6
"315",0.9
"316",0.8
"317",1.9
"318",0.1
"319",2.5
"320",0
"321",1
"322",1.1
"323",1.1
"324",0.1
"325",0.8
"326",1.5
"327",0.4
"328",0.9
"329",1.8
"330",0.4
"331",0.1
"332",2
"333",0.4
"334",1.7
"335",0.7
"336",1.7
"337",1.9
"338",1.8
"339",1.2
"340",0.6
"341",0.4
"342",2.3
"343",0.6
"344",1
"345",1.2
"346",2.3
"347",0.3
"348",0.5
"349",0.1
"350",0.6
"351",2.2
"352",0.7
"353",0
"354",0.4
"355",1.7
"356",0.3
"357",1.6
"358",0.4
"359",1.4
"360",0.1
"361",0.2
"362",1.9
"363",0.7
"364",1.2
"365",2.1
"366",1.6
"367",0.5
"368",0.9
"369",1.2
"370",1.8
"371",2.3
"372",1.5
"373",1
"374",1.3
"375",0.6
"376",2.1
"377",2.4
"378",1.4
"379",0.3
"380",0.6
"381",0.4
"382",2.2
"383",1.8
"384",2.2
"385",0.5
"386",1.7
"387",1.3
"388",1.3
"389",0.6
"390",1
"391",1
"392",0
"393",2.2
"394",1.1
"395",0.4
"396",1.7
"397",0.4
"398",1.9
"399",1.6
"400",0.3
"401",0.2
"402",1.8
"403",0.3
"404",1.9
"405",1.9
"406",0.6
"407",2.4
"408",0.7
"409",0.3
"410",2.1
"411",1.5
"412",0.7
"413",1.8
"414",0.8
"415",2.4
"416",1.5
"417",0.1
"418",0.5
"419",2.2
"420",1
"421",0.7
"422",1.5
"423",1.7
"424",1.5
"425",1.6
"426",0.2
"427",1.2
"428",1.6
"429",1.5
"430",2.4
"431",1.7
"432",1.8
"433",2.3
"434",2.4
"435",1.1
"436",1
"437",2.3
"438",0.8
"439",1.3
"440",2
"441",1
"442",2.4
"443",2.3
"444",2.1
"445",0.2
"446",1
"447",2.1
"448",0.9
"449",1.5
"450",1.7
"451",1.5
"452",2.2
"453",1
"454",0.3
"455",1.3
"456",2.4
"457",1.7
"458",2.2
"459",0.9
"460",2.1
"461",1.6
"462",2
"463",2.3
"464",1
"465",0.3
"466",0.4
"467",2.5
"468",1.2
"469",0.1
"470",1.9
"471",2.1
"472",0.8
"473",0.3
"474",1.6
"475",2.3
"476",1.9
"477",0.3
"478",1.4
"479",0.3
"480",1.6
"481",2
"482",1.4
"483",0.3
"484",1.6
"485",2.1
"486",1.1
"487",1.1
"488",2.3
"489",0.1
"490",2.1
"491",1.9
"492",1.6
"493",1.9
"494",0.6
"495",0.6
"496",1.6
"497",0.3
"498",2.5
"499",1.4
"500",1.8
"501",1.7
"502",2.2
"503",0.9
"504",1.7
"505",2.2
"506",0.9
"507",2.3
"508",0.4
"509",2.2
"510",0.1
"511",2.4
"512",1.1
"513",0
"514",2
"515",2.1
"516",0.1
"517",2.2
"518",1
"519",1.8
"520",1.9
"521",0.9
"522",2.4
"523",1.2
"524",1.9
"525",0.4
"526",1.8
"527",0.6
"528",1.5
"529",0.1
"530",1.9
"531",0.2
"532",0.2
"533",1
"534",0.1
"535",1.6
"536",0
"537",1.6
"538",2
"539",0
"540",1
"541",2.3
"542",1.8
"543",0.1
"544",0.8
"545",0.7
"546",1.5
"547",2.1
"548",1.3
"549",0.5
"550",2
"551",2.1
"552",1.5
"553",0.6
"554",1.4
"555",2.4
"556",1.3
"557",0.4
"558",0.9
"559",1.6
"560",1.6
"561",1.5
"562",1.6
"563",0.4
"564",2.2
"565",1.5
"566",1.1
"567",2
"568",0.3
"569",0.5
"570",0.8
"571",1.3
"572",0.2
"573",0.8
"574",0.5
"575",0.7
"576",1.5
"577",0
"578",1
"579",1.2
"580",1.5
"581",0.1
"582",0.2
"583",1.6
"584",0.9
"585",0.6
"586",0.3
"587",0.5
"588",2.4
"589",1.7
"590",0.7
"591",1.7
"592",0.2
"593",1.1
"594",1.6
"595",1.8
"596",0.7
"597",0.1
"598",1.5
"599",1.8
"600",0.8
"601",2.4
"602",0.6
"603",1.5
"604",1.8
"605",2.2
"606",2.1
"607",2.3
"608",1.8
"609",2.1
"610",1.2
"611",0.7
"612",0.1
"613",1.3
"614",0.8
"615",0.2
"616",2.2
"617",1.6
"618",0.3
"619",1.3
"620",2
"621",0.4
"622",0.2
"623",2.5
"624",0.7
"625",2.2
"626",0.8
"627",0.9
"628",1.4
"629",1.1
"630",0.7
"631",1.6
"632",1.7
"633",1.3
"634",0.8
"635",1.4
"636",1.4
"637",0.5
"638",2.5
"639",0.1
"640",2.2
"641",0
"642",1.1
"643",0.7
"644",1.7
"645",0.1
"646",2
"647",1.3
"648",2.3
"649",2.3
"650",1.5
"651",1.8
"652",1.8
"653",0.2
"654",1.6
"655",2.2
"656",1.1
"657",1.7
"658",1.9
"659",1.6
"660",0.6
"661",0.3
"662",1.7
"663",0.2
"664",1.1
"665",1.8
"666",1
"667",1.4
"668",0.5
"669",0.9
"670",0.7
"671",2.5
"672",1.8
"673",1.8
"674",1
"675",2.4
"676",0.5
"677",0.4
"678",0.3
"679",0.8
"680",0.4
"681",0.8
"682",1.8
"683",0.7
"684",1.5
"685",0.4
"686",0.8
"687",1.8
"688",0.9
"689",0.8
"690",0.9
"691",0
"692",1.8
"693",1.1
"694",1.9
"695",0.3
"696",0.3
"697",1.9
"698",2
"699",1.4
"700",2
"701",1.7
"702",2
"703",1.9
"704",0.9
"705",1.8
"706",0.2
"707",0.2
"708",2.1
"709",1.2
"710",0.1
"711",0.8
"712",0.8
"713",0.8
"714",1.9
"715",2.2
"716",0.5
"717",2.1
"718",0.3
"719",1
"720",0.8
"721",1.9
"722",1.2
"723",2.5
"724",0.4
"725",0.9
"726",1.8
"727",2.3
"728",1.6
"729",1
"730",1.7
"731",1.4
"732",1.2
"733",2.2
"734",0.6
"735",2.5
"736",1.1
"737",1.9
"738",0.9
"739",0.9
"740",0.3
"741",2.1
"742",0.6
"743",0.4
"744",2.1
"745",0.6
"746",0.9
"747",1.5
"748",1.4
"749",1.3
"750",0.9
"751",2.5
"752",0.9
"753",2.2
"754",1.8
"755",1.1
"756",1.7
"757",2.1
"758",0.4
"759",1.1
"760",1.7
"761",0.5
"762",1.8
"763",0.6
"764",0.4
"765",0.5
"766",2.4
"767",1.7
"768",2.4
"769",0.8
"770",0.2
"771",1.6
"772",1.9
"773",1.1
"774",1.6
"775",0.1
"776",1.8
"777",1.8
"778",0.5
"779",2
"780",1.7
"781",1.4
"782",0.2
"783",0
"784",0.5
"785",0.7
"786",1.5
"787",0
"788",0.8
"789",1.7
"790",0.4
"791",0.6
"792",0.8
"793",0.5
"794",2.5
"795",2.4
"796",1.7
"797",1.5
"798",2.3
"799",0.5
"800",0.1
"801",0.1
"802",1.7
"803",0.3
"804",0.7
"805",0.1
"806",2.4
"807",0.6
"808",0.2
"809",1.8
"810",2.4
"811",0.4
"812",0.9
"813",1.6
"814",0.8
"815",1.4
"816",2.1
"817",1.7
"818",1
"819",0.3
"820",0.1
"821",2.2
"822",2
"823",0.2
"824",0.6
"825",0.7
"826",0.2
"827",1.4
