"","ChemicalX","ZombieCount"
"15001",0.4,11
"15002",0.6,23
"15003",0,3
"15004",0.2,3
"15005",1.2,97
"15006",0.7,20
"15007",2,1099
"15008",0.1,3
"15009",1.2,105
"15010",0.9,40
"15011",1.3,109
"15012",0.2,4
"15013",1.3,114
"15014",1.9,832
"15015",1.8,599
"15016",1.6,359
"15017",1.2,97
"15018",0,1
"15019",2.3,2682
"15020",0.5,10
"15021",0.5,18
"15022",2.5,4858
"15023",0.8,30
"15024",1.7,457
"15025",1.4,177
"15026",2.3,2795
"15027",1.4,212
"15028",1.7,447
"15029",2,1101
"15030",1.9,828
"15031",1,56
"15032",1.5,238
"15033",1.6,323
"15034",1.8,567
"15035",1.5,239
"15036",0.7,31
"15037",1.3,132
"15038",0,1
"15039",1.8,587
"15040",0.9,45
"15041",2,1129
"15042",0,1
"15043",0.8,36
"15044",1.5,224
"15045",1.6,335
"15046",1.5,226
"15047",0.3,10
"15048",2,1084
"15049",1.7,449
"15050",0,2
"15051",2.4,3634
"15052",2.4,3698
"15053",2.2,1908
"15054",1.7,471
"15055",0.3,5
"15056",1.5,253
"15057",0,2
"15058",0.5,10
"15059",0.7,23
"15060",1,60
"15061",2.4,3659
"15062",1.6,340
"15063",0.5,12
"15064",1.9,841
"15065",2.4,3671
"15066",1,63
"15067",0.8,38
"15068",0.4,9
"15069",2.3,2647
"15070",1.2,83
"15071",2.4,3594
"15072",2.1,1487
"15073",2.3,2678
"15074",0.1,6
"15075",1.1,64
"15076",0.2,4
"15077",0.5,13
"15078",1.8,660
"15079",0.7,17
"15080",2.3,2637
"15081",0.1,3
"15082",0.7,22
"15083",2.1,1533
"15084",0.4,9
"15085",0.6,17
"15086",0.5,11
"15087",0.8,37
"15088",2.5,4858
"15089",2.4,3650
"15090",2.1,1533
"15091",0.6,12
"15092",1.3,128
"15093",1.5,224
"15094",2.3,2672
"15095",1.2,109
"15096",2.3,2707
"15097",1,55
"15098",0.6,26
"15099",1.3,141
"15100",2.1,1470
"15101",1.6,324
"15102",1.9,833
"15103",0.6,19
"15104",1,51
"15105",1.3,127
"15106",2.3,2696
"15107",0.4,13
"15108",0.1,1
"15109",2.5,5007
"15110",1.2,101
"15111",0,3
"15112",1.7,433
"15113",2.2,2000
"15114",0.9,29
"15115",0.6,17
"15116",0.9,51
"15117",0.4,11
"15118",0,4
"15119",0.1,5
"15120",0.3,6
"15121",2.1,1498
"15122",1.2,106
"15123",2.1,1515
"15124",0.6,21
"15125",0.7,17
"15126",1.3,129
"15127",2.4,3646
"15128",0.6,19
"15129",0.3,4
"15130",1.9,793
"15131",1.4,164
"15132",1.5,252
"15133",1.5,251
"15134",2.5,4937
"15135",0.6,18
"15136",0.9,35
"15137",1.5,290
"15138",0.9,42
"15139",1.5,235
"15140",2.4,3654
"15141",2.1,1521
"15142",1.4,172
"15143",0.2,5
"15144",0.7,17
"15145",2.2,1975
"15146",2.5,4949
"15147",1.5,204
"15148",0.3,3
"15149",0.8,28
"15150",0.2,4
"15151",0.2,3
"15152",0.3,8
"15153",1,42
"15154",2.3,2743
"15155",0.2,5
"15156",1.8,559
"15157",2.4,3627
"15158",2.4,3557
"15159",0,7
"15160",1.3,146
"15161",1.5,233
"15162",0.9,36
"15163",1.3,151
"15164",1.3,131
"15165",1,50
"15166",2.5,5007
"15167",0.7,18
"15168",0.3,10
"15169",0.6,17
"15170",1.8,610
"15171",2.5,4858
"15172",2.4,3694
"15173",1.7,454
"15174",1.4,174
"15175",0.7,22
"15176",0.3,7
"15177",0.1,8
"15178",2.4,3663
"15179",0.3,4
"15180",0.9,39
"15181",1.5,228
"15182",2.3,2723
"15183",1.1,78
"15184",0.5,13
"15185",2.1,1486
"15186",1.2,102
"15187",2.1,1500
"15188",2.4,3679
"15189",2.5,5122
"15190",2.1,1575
"15191",1.1,75
"15192",2.3,2745
"15193",1.1,68
"15194",0,2
"15195",0.1,0
"15196",0.1,4
"15197",2.1,1442
"15198",2.4,3642
"15199",0.2,4
"15200",1.8,610
"15201",0.4,9
"15202",0.4,13
"15203",0.3,6
"15204",1.6,330
"15205",0.5,9
"15206",1.9,806
"15207",1.5,272
"15208",0.6,19
"15209",0.5,14
"15210",1.7,443
"15211",2.1,1458
"15212",1.9,741
"15213",2.5,4955
"15214",1.9,804
"15215",0,3
"15216",0.6,14
"15217",0.7,26
"15218",0.6,13
"15219",2.2,1984
"15220",1,59
"15221",1.8,617
"15222",0.1,4
"15223",0.9,40
"15224",0.7,26
"15225",2,1099
"15226",2.5,4974
"15227",1.1,78
"15228",1.6,328
"15229",2.3,2626
"15230",1.8,575
"15231",0.4,11
"15232",1.6,334
"15233",1.8,583
"15234",2.5,4920
"15235",0.1,2
"15236",1.8,624
"15237",2.5,4867
"15238",2.3,2640
"15239",0.8,29
"15240",0.9,36
"15241",2.2,2030
"15242",0.4,6
"15243",1.9,807
"15244",2.3,2667
"15245",0,3
"15246",2.2,1899
"15247",1.4,179
"15248",2.3,2652
"15249",0.8,22
"15250",2.3,2677
"15251",1,66
"15252",1.8,576
"15253",2.4,3720
"15254",1.4,195
"15255",1.4,191
"15256",1.2,105
"15257",1.5,228
"15258",2.5,4912
"15259",2.2,2042
"15260",2.3,2664
"15261",1.8,630
"15262",0.1,5
"15263",1.9,838
"15264",1.9,776
"15265",2.3,2652
"15266",1.2,101
"15267",1.4,197
"15268",0.5,11
"15269",0.3,6
"15270",2,1094
"15271",0.7,15
"15272",1.9,854
"15273",2.4,3667
"15274",1.3,146
"15275",1.1,72
"15276",0.6,11
"15277",1.8,597
"15278",0.3,11
"15279",0.1,4
"15280",2.5,4919
"15281",2.2,2041
"15282",2.3,2688
"15283",1,43
"15284",1.3,128
"15285",2.1,1446
"15286",1.8,570
"15287",2.1,1473
"15288",2.1,1497
"15289",0.3,10
"15290",0.1,5
"15291",1.8,570
"15292",2.1,1481
"15293",0.9,35
"15294",0.9,45
"15295",2.2,2023
"15296",2.3,2713
"15297",0.8,26
"15298",2.1,1500
"15299",0.5,16
"15300",0.5,11
"15301",1.7,453
"15302",1.4,196
"15303",0.2,7
"15304",1.7,433
"15305",0.3,5
"15306",1.6,340
"15307",0.2,6
"15308",0.6,15
"15309",0.4,8
"15310",2.4,3666
"15311",2,1142
"15312",2.5,4855
"15313",0.2,8
"15314",0.2,5
"15315",0.5,14
"15316",2.2,1925
"15317",1.1,70
"15318",0.3,7
"15319",0.9,36
"15320",0.2,4
"15321",2.1,1506
"15322",1.4,191
"15323",1.8,622
"15324",2.5,4857
"15325",2.3,2679
"15326",1.1,77
"15327",0,3
"15328",0,2
"15329",1.7,427
"15330",2.3,2687
"15331",0.4,5
"15332",2.1,1495
"15333",2.4,3675
"15334",1.6,344
"15335",0.7,28
"15336",1,64
"15337",1.5,256
"15338",2.1,1508
"15339",0.8,32
"15340",1.9,821
"15341",0.5,11
"15342",1.7,435
"15343",0.9,49
"15344",0.9,42
"15345",1.8,653
"15346",2.2,1892
"15347",0.4,5
"15348",1,46
"15349",2.1,1489
"15350",1,68
"15351",1.4,204
"15352",2.2,1958
"15353",1.3,125
"15354",1.3,132
"15355",2.1,1522
"15356",1.8,575
"15357",0.4,7
"15358",1.4,196
"15359",2.5,4807
"15360",0.9,44
"15361",1.5,275
"15362",0.4,14
"15363",0,3
"15364",1.3,134
"15365",0,4
"15366",0.4,9
"15367",0.3,5
"15368",0.5,14
"15369",1.7,475
"15370",0.4,10
"15371",1.4,188
"15372",1.5,253
"15373",2.4,3675
"15374",1.9,763
"15375",2.5,4976
"15376",1.2,78
"15377",0.4,5
"15378",1.6,327
"15379",1.3,112
"15380",0.4,7
"15381",1.3,135
"15382",1.5,231
"15383",0.3,12
"15384",2.4,3609
"15385",0.8,27
"15386",1.3,155
"15387",1,58
"15388",0.2,4
"15389",0.8,32
"15390",0.9,47
"15391",0.6,21
"15392",1.3,105
"15393",1.1,53
"15394",2.2,1963
"15395",0.1,2
"15396",2.2,1987
"15397",1.3,112
"15398",1.6,351
"15399",0,1
"15400",1.9,821
"15401",0.7,18
"15402",0.4,15
"15403",0.9,33
"15404",0.3,6
"15405",0.8,28
"15406",1.7,477
"15407",0.6,11
"15408",2.2,2037
"15409",0,2
"15410",0.7,23
"15411",2.3,2749
"15412",2.2,1923
"15413",2.2,2030
"15414",2.3,2707
"15415",0.1,8
"15416",1.2,107
"15417",0.2,5
"15418",0.7,25
"15419",1.2,99
"15420",2.1,1492
"15421",0.4,8
"15422",2.4,3713
"15423",1.5,243
"15424",0.2,6
"15425",0.8,29
"15426",2.1,1501
"15427",2.4,3544
"15428",0.4,10
"15429",1.9,812
"15430",1.7,470
"15431",1.3,131
"15432",0.7,18
"15433",1.8,568
"15434",2.5,5070
"15435",1.8,551
"15436",1,49
"15437",2.2,2035
"15438",2.3,2623
"15439",0.8,28
"15440",0.7,26
"15441",0.2,7
"15442",0.9,30
"15443",2.4,3694
"15444",0.2,5
"15445",2.1,1448
"15446",0,3
"15447",2.4,3722
"15448",2.2,1992
"15449",0.4,7
"15450",0.8,20
"15451",1.6,345
"15452",1.8,597
"15453",2.4,3594
"15454",1.2,104
"15455",1,68
"15456",0.9,46
"15457",2.5,4872
"15458",1.6,330
"15459",0.3,2
"15460",0.7,14
"15461",0.6,19
"15462",0,3
"15463",1.2,82
"15464",1.3,124
"15465",0.2,3
"15466",0.3,3
"15467",0.8,25
"15468",1.1,62
"15469",1.5,233
"15470",1.8,646
"15471",0.6,17
"15472",1.4,172
"15473",1.9,827
"15474",1,42
"15475",2.3,2716
"15476",2.1,1488
"15477",1.1,77
"15478",0.4,8
"15479",1.9,891
"15480",1.1,85
"15481",0.7,25
"15482",2.1,1523
"15483",1,57
"15484",1.9,841
"15485",1.2,95
"15486",1.7,415
"15487",2.4,3659
"15488",2.3,2667
"15489",2.4,3623
"15490",2.2,2048
"15491",2.2,2000
"15492",0.3,7
"15493",0.7,21
"15494",0.1,4
"15495",0.6,21
"15496",1.9,842
"15497",0.6,18
"15498",1.8,605
"15499",0.1,2
"15500",2,1084
"15501",0,1
"15502",0.9,44
"15503",1.1,70
"15504",2.2,2034
"15505",0.4,13
"15506",0.3,5
"15507",2.5,4861
"15508",0.4,8
"15509",2.2,2008
"15510",2.4,3571
"15511",0.3,7
"15512",1.5,262
"15513",2.2,2033
"15514",0.5,11
"15515",0.5,9
"15516",0.1,3
"15517",0.4,15
"15518",0.5,13
"15519",2.4,3726
"15520",0.9,38
"15521",0.4,6
"15522",1.1,71
"15523",2.5,4800
"15524",1.5,244
"15525",1.3,132
"15526",2.5,4954
"15527",0,3
"15528",0.2,4
"15529",2.2,2011
"15530",2.2,1906
"15531",1.1,80
"15532",1.6,300
"15533",1.6,334
"15534",1.1,87
"15535",1.7,436
"15536",0.5,13
"15537",0.3,2
"15538",1.2,110
"15539",2.5,4939
"15540",0,3
"15541",1.2,97
"15542",1.7,424
"15543",2.1,1477
"15544",1.4,177
"15545",1.9,803
"15546",0.2,3
"15547",1.2,123
"15548",2,1066
"15549",0.7,18
"15550",2.4,3673
"15551",0.6,15
"15552",0.3,8
"15553",2.3,2658
"15554",1.9,839
"15555",1.1,85
"15556",1.3,137
"15557",0.6,18
"15558",2.4,3667
"15559",2.4,3605
"15560",0.2,5
"15561",2,1038
"15562",1.2,102
"15563",1.3,147
"15564",2.1,1455
"15565",0.6,16
"15566",1.4,175
"15567",0.8,28
"15568",1.1,73
"15569",2.1,1436
"15570",0.8,34
"15571",1.2,100
"15572",1.8,575
"15573",1,61
"15574",0.4,7
"15575",1.2,102
"15576",0.6,18
"15577",1.7,466
"15578",1.6,306
"15579",0.4,5
"15580",1.2,92
"15581",0.3,5
"15582",1.6,307
"15583",2,1068
"15584",1.5,220
"15585",1.5,251
"15586",2.3,2734
"15587",0,2
"15588",1,52
"15589",0,2
"15590",2.5,4736
"15591",0.4,6
"15592",2.3,2660
"15593",0.7,24
"15594",1,71
"15595",1.5,254
"15596",1.5,274
"15597",0,1
"15598",1.3,131
"15599",1.9,793
"15600",0.4,8
"15601",0.2,3
"15602",2.5,5022
"15603",2.1,1483
"15604",0.6,15
"15605",0.4,6
"15606",2,1056
"15607",2.3,2853
"15608",2.4,3681
"15609",1,49
"15610",1.1,67
"15611",1.1,72
"15612",2.4,3706
"15613",1.7,463
"15614",2.1,1440
"15615",1.4,191
"15616",2,1077
"15617",0.7,26
"15618",1.7,449
"15619",0.6,16
"15620",0.2,2
"15621",2.3,2719
"15622",0,4
"15623",2.5,4883
"15624",2.4,3714
"15625",1,44
"15626",1.5,262
"15627",0.6,12
"15628",1.2,111
"15629",0.8,31
"15630",2.3,2755
"15631",1.3,143
"15632",1,57
"15633",0.1,4
"15634",0.2,11
"15635",0.3,4
"15636",0,3
"15637",1.8,641
"15638",1.6,337
"15639",0.7,27
"15640",1,52
"15641",0.7,22
"15642",1,55
"15643",0.3,11
"15644",1.7,431
"15645",2,1071
"15646",0,5
"15647",1.7,447
"15648",0.6,10
"15649",0.2,3
"15650",2.1,1466
"15651",2.5,4880
"15652",0.8,29
"15653",1.4,167
"15654",0.5,11
"15655",2.4,3560
"15656",2.3,2719
"15657",0,3
"15658",0,2
"15659",1.6,330
"15660",2,1059
"15661",0.4,10
"15662",0.9,49
"15663",2,1137
"15664",1.2,98
"15665",0.8,21
"15666",1.8,585
"15667",1.8,598
"15668",0.9,40
"15669",2.4,3669
"15670",0.1,8
"15671",2.2,2031
"15672",1.4,207
"15673",1.4,184
"15674",2.3,2693
"15675",0.6,18
"15676",2.5,4874
"15677",1.5,255
