"","ChemicalX","ZombieCount"
"1",0.2,4
"2",0.2,3
"3",1,53
"4",1.9,827
"5",1.8,599
"6",2.5,4881
"7",1.5,247
"8",0.4,16
"9",2.4,3665
"10",2,1107
"11",1.3,137
"12",0.1,2
"13",0.8,25
"14",0.4,12
"15",0.1,7
"16",1.3,137
"17",1.2,91
"18",1.6,326
"19",1.6,328
"20",1.8,562
"21",2.3,2743
"22",2.1,1438
"23",1,53
"24",0.8,43
"25",0.7,22
"26",0.6,19
"27",0,3
"28",0.4,7
"29",0.8,32
"30",2.4,3734
"31",1.8,583
"32",1,46
"33",1.5,267
"34",0.8,30
"35",2.5,4913
"36",0.4,13
"37",1.5,241
"38",0.1,2
"39",2,1118
"40",0,0
"41",1.9,816
"42",0.2,7
"43",1.6,332
"44",2,1100
"45",2.3,2780
"46",0.4,7
"47",1.1,79
"48",0.1,4
"49",0.1,4
"50",0.8,24
"51",2.5,4933
"52",2.1,1468
"53",1.9,791
"54",0.1,2
"55",2.1,1481
"56",0.6,11
"57",0.6,18
"58",2.5,4877
"59",0.6,27
"60",1.5,252
"61",1.3,135
"62",0.3,7
"63",1.7,419
"64",1.9,818
"65",0.8,19
"66",1.6,317
"67",1.8,624
"68",0.9,39
"69",2,1053
"70",1.3,142
"71",1.6,345
"72",0.4,11
"73",0.7,16
"74",2.2,1981
"75",2.5,4964
"76",0.8,25
"77",1.4,187
"78",1.5,259
"79",1.7,464
"80",2.2,2029
"81",1.7,407
"82",0.4,6
"83",1.1,94
"84",2.4,3646
"85",1.2,92
"86",2.2,1937
"87",0,4
"88",0.4,11
"89",1.9,809
"90",1.5,219
"91",2.3,2630
"92",0.6,18
"93",2.1,1406
"94",2.4,3626
"95",1.3,132
"96",1.2,90
"97",0.2,10
"98",1.5,263
"99",1.7,437
"100",1.8,629
"101",1.7,506
"102",1.6,312
"103",1.7,459
"104",0.2,4
"105",2.2,2016
"106",0,4
"107",0.2,6
"108",1.8,606
"109",1.1,68
"110",2.4,3641
"111",2.5,4893
"112",1.5,231
"113",1.1,80
"114",1.7,435
"115",2.3,2687
"116",2.3,2801
"117",0.4,9
"118",1.2,86
"119",2.5,4820
"120",2.1,1468
"121",0.7,26
"122",0.8,26
"123",0.9,47
"124",1.6,300
"125",0.1,3
"126",0.7,14
"127",2.4,3642
"128",1.9,781
"129",0.2,7
"130",2.5,4906
"131",2.2,2019
"132",2.1,1536
"133",0.8,33
"134",2,1120
"135",1.5,267
"136",1.3,130
"137",2.3,2659
"138",1.6,354
"139",1.7,472
"140",0.4,8
"141",2,1109
"142",0.5,18
"143",0.2,7
"144",1.7,423
"145",1.3,134
"146",1.4,158
"147",1.5,244
"148",2.4,3630
"149",2.2,2064
"150",1.2,107
"151",0.1,4
"152",1.8,587
"153",2.2,1974
"154",0.9,41
"155",1.9,809
"156",2,1059
"157",1.8,610
"158",0.9,46
"159",0.5,8
"160",2.3,2681
"161",0.6,23
"162",2.3,2665
"163",1.1,67
"164",1.5,262
"165",2.5,5002
"166",0,3
"167",1.7,448
"168",1,68
"169",2.1,1464
"170",2.2,1966
"171",0.6,11
"172",1,48
"173",2.1,1448
"174",1.3,149
"175",2,1069
"176",1.9,856
"177",0.2,10
"178",2.3,2621
"179",0.4,10
"180",0.2,2
"181",1.2,98
"182",2.4,3603
"183",1.2,78
"184",1.4,172
"185",0.9,56
"186",1.4,188
"187",0.5,10
"188",2,1136
"189",2.2,2053
"190",0.8,27
"191",2.4,3551
"192",0.6,14
"193",0.9,44
"194",1.3,138
"195",0,3
"196",2.4,3470
"197",1.1,76
"198",1,48
"199",0.1,1
"200",2.2,1941
"201",0.7,29
"202",1.8,608
"203",0.4,9
"204",0.1,6
"205",1.2,100
"206",1.7,458
"207",1.6,319
"208",1.5,266
"209",1.5,252
"210",1,61
"211",2.2,2046
"212",1.8,605
"213",0.6,13
"214",2.2,1866
"215",1.5,270
"216",0.9,37
"217",1.1,98
"218",1.4,177
"219",1,55
"220",0.5,15
"221",2.3,2682
"222",2,1063
"223",2,1147
"224",1.7,428
"225",0,2
"226",1.3,102
"227",0.5,18
"228",0,4
"229",2.3,2728
"230",0.8,28
"231",2.3,2767
"232",1.4,159
"233",1,55
"234",1,49
"235",1.3,132
"236",0.9,40
"237",0.8,38
"238",1.8,587
"239",1.2,111
"240",1.2,82
"241",2.1,1476
"242",0.8,26
"243",1.6,355
"244",2.2,2064
"245",1.3,146
"246",2.5,4883
"247",0.3,6
"248",1.2,117
"249",2,1092
"250",1.2,108
"251",2.5,4944
"252",0.9,36
"253",0.2,6
"254",2.4,3707
"255",2.2,1962
"256",2,1109
"257",0,3
"258",0.7,23
"259",1.1,76
"260",0.2,5
"261",1.3,125
"262",0.6,12
"263",0.9,24
"264",0.1,4
"265",1.5,233
"266",1.9,809
"267",1.4,167
"268",2.4,3705
"269",1.4,194
"270",0,4
"271",1.9,838
"272",0.2,4
"273",0.8,36
"274",1.8,595
"275",2.4,3611
"276",0.5,20
"277",1.2,101
"278",0.4,10
"279",1.2,91
"280",0,3
"281",0.6,19
"282",2,1106
"283",2,1156
"284",0.7,14
"285",2.4,3587
"286",0.1,4
"287",1,70
"288",0,1
"289",0.6,19
"290",1.6,335
"291",1.4,170
"292",2,1105
"293",0.7,18
"294",0.3,1
"295",2.1,1444
"296",2.5,4751
"297",1.6,379
"298",1.3,134
"299",1.4,187
"300",1.2,97
"301",0.4,14
"302",1.8,593
"303",0.5,13
"304",1.5,253
"305",1.8,597
"306",1.6,319
"307",0.3,3
"308",1.3,137
"309",2.4,3608
"310",2.5,4935
"311",1.3,157
"312",1.4,157
"313",1.1,79
"314",0.3,3
"315",0.3,8
"316",1.9,811
"317",0.2,2
"318",1.3,140
"319",1,56
"320",1.6,353
"321",1.9,776
"322",2.5,4939
"323",2.4,3620
"324",0.4,12
"325",2.1,1464
"326",0.1,5
"327",1.4,155
"328",0.9,52
"329",1.8,603
"330",1.6,324
"331",2,1111
"332",2.3,2775
"333",2.5,4877
"334",2.3,2803
"335",0.7,26
"336",1.8,607
"337",0.6,16
"338",0.6,16
"339",0.4,10
"340",0.2,9
"341",0.7,26
"342",1.3,134
"343",2,1103
"344",0.8,25
"345",0.6,15
"346",1.1,73
"347",0.6,16
"348",0,2
"349",1.2,99
"350",1.5,252
"351",0,1
"352",2.5,4842
"353",1.6,335
"354",0,2
"355",1.7,427
"356",1.2,96
"357",1.2,108
"358",2.5,4848
"359",2.1,1493
"360",2.2,2012
"361",2.4,3702
"362",0.5,8
"363",1.7,431
"364",1.7,429
"365",0,2
"366",1.7,434
"367",0.1,8
"368",1.7,439
"369",1.9,843
"370",0.7,20
"371",1.8,587
"372",1.9,832
"373",2.2,2012
"374",2.5,4909
"375",1,81
"376",1.4,164
"377",1,54
"378",2.4,3693
"379",2.3,2643
"380",0.3,9
"381",0,2
"382",1.2,115
"383",0,1
"384",0.3,5
"385",2,1088
"386",1.2,98
"387",0,2
"388",1.5,229
"389",0.9,49
"390",1.9,838
"391",2.1,1525
"392",2.5,5029
"393",0.9,41
"394",2.2,2010
"395",1.2,93
"396",1.5,258
"397",0.4,14
"398",0.3,9
"399",0.4,10
"400",1.4,159
"401",2.2,2072
"402",0.6,20
"403",2.1,1435
"404",2.4,3524
"405",1.5,248
"406",1.3,136
"407",0.9,40
"408",0.9,39
"409",2,1079
"410",1.1,60
"411",1.6,348
"412",0.5,11
"413",1.2,106
"414",0.2,5
"415",1.3,128
"416",1.8,583
"417",1,43
"418",0.3,6
"419",0.4,7
"420",1.6,346
"421",0.3,6
"422",2,1128
"423",2,1108
"424",0.5,16
"425",0.2,10
"426",0.4,5
"427",0.1,1
"428",1.1,82
"429",0.3,7
"430",0.1,3
"431",0.9,41
"432",0.5,13
"433",0.7,19
"434",0.6,20
