"","x"
"1",15
"2",9
"3",7
"4",5
"5",5
"6",2
"7",6
"8",2
"9",1
"10",9
"11",7
"12",4
"13",4
"14",7
"15",9
"16",8
"17",7
"18",5
"19",9
"20",5
"21",6
"22",7
"23",7
"24",11
"25",8
"26",5
"27",6
"28",5
"29",6
"30",5
"31",5
"32",5
"33",4
"34",8
"35",7
"36",6
"37",3
"38",9
"39",3
"40",8
"41",5
"42",4
"43",4
"44",5
"45",9
"46",4
"47",5
"48",2
"49",7
"50",9
"51",12
"52",6
"53",5
"54",4
"55",3
"56",3
"57",5
"58",1
"59",7
"60",8
"61",7
"62",3
"63",10
"64",4
"65",3
"66",6
"67",8
"68",6
"69",6
"70",6
"71",4
"72",4
"73",6
"74",5
"75",6
"76",9
"77",4
"78",8
"79",3
"80",6
"81",9
"82",5
"83",6
"84",5
"85",5
"86",7
"87",9
"88",3
"89",6
"90",5
"91",10
"92",10
"93",4
"94",2
"95",5
"96",5
"97",2
"98",2
"99",7
"100",5
"101",4
"102",4
"103",5
"104",11
"105",3
"106",5
"107",8
"108",5
"109",8
"110",5
"111",7
"112",6
"113",8
"114",7
"115",6
"116",12
"117",10
"118",10
"119",5
"120",8
"121",7
"122",3
"123",6
"124",5
"125",6
"126",10
"127",6
"128",9
"129",8
"130",5
"131",6
"132",8
"133",5
"134",10
"135",4
"136",6
"137",7
"138",6
"139",8
"140",8
"141",4
"142",10
"143",5
"144",6
"145",7
"146",3
"147",4
"148",6
"149",3
"150",7
"151",6
"152",6
"153",6
"154",5
"155",5
"156",2
"157",6
"158",9
"159",4
"160",7
"161",6
"162",2
"163",2
"164",2
"165",7
"166",4
"167",6
"168",8
"169",12
"170",4
"171",7
"172",7
"173",4
"174",6
"175",7
"176",9
"177",5
"178",6
"179",4
"180",7
"181",4
"182",7
"183",6
"184",8
"185",11
"186",7
"187",6
"188",5
"189",7
"190",7
"191",7
"192",9
"193",6
"194",4
"195",7
"196",4
"197",3
"198",8
"199",10
"200",5
"201",3
"202",4
"203",6
"204",6
"205",5
"206",6
"207",9
"208",10
"209",5
"210",1
"211",1
"212",4
"213",8
"214",4
"215",4
"216",6
"217",6
"218",12
"219",3
"220",7
"221",8
"222",4
"223",5
"224",6
"225",7
"226",11
"227",4
"228",3
"229",2
"230",3
"231",9
"232",9
"233",5
"234",6
"235",5
"236",9
"237",7
"238",9
"239",8
"240",5
"241",3
"242",9
"243",6
"244",9
"245",8
"246",6
"247",5
"248",5
"249",9
"250",2
"251",12
"252",9
"253",3
"254",2
"255",9
"256",5
"257",6
"258",8
"259",9
"260",4
"261",8
"262",6
"263",9
"264",8
"265",4
"266",4
"267",5
"268",3
"269",10
"270",6
"271",5
"272",5
"273",3
"274",4
"275",5
"276",5
"277",7
"278",5
"279",7
"280",5
"281",4
"282",3
"283",8
"284",2
"285",5
"286",5
"287",5
"288",10
"289",8
"290",5
"291",3
"292",2
"293",7
"294",4
"295",4
"296",8
"297",4
"298",8
"299",2
"300",6
"301",0
"302",7
"303",13
"304",4
"305",5
"306",6
"307",3
"308",5
"309",4
"310",3
"311",4
"312",8
"313",11
"314",7
"315",12
"316",5
"317",6
"318",4
"319",6
"320",9
"321",8
"322",13
"323",5
"324",4
"325",3
"326",3
"327",8
"328",8
"329",10
"330",10
"331",6
"332",5
"333",8
"334",7
"335",6
"336",9
"337",3
"338",4
"339",6
"340",3
"341",8
"342",7
"343",8
"344",4
"345",4
"346",8
"347",4
"348",8
"349",10
"350",9
"351",5
"352",7
"353",5
"354",5
"355",4
"356",8
"357",2
"358",5
"359",7
"360",6
"361",7
"362",7
"363",5
"364",4
"365",8
"366",3
"367",11
"368",8
"369",5
"370",7
"371",10
"372",6
"373",6
"374",7
"375",2
"376",6
"377",10
"378",7
"379",5
"380",5
"381",8
"382",3
"383",5
"384",7
"385",7
"386",6
"387",6
"388",5
"389",9
"390",8
"391",5
"392",6
"393",5
"394",8
"395",3
"396",6
"397",11
"398",6
"399",9
"400",8
"401",8
"402",5
"403",4
"404",10
"405",7
"406",8
"407",4
"408",10
"409",8
"410",2
"411",2
"412",7
"413",9
"414",3
"415",3
"416",7
"417",5
"418",2
"419",6
"420",11
"421",10
"422",6
"423",3
"424",5
"425",7
"426",7
"427",3
"428",7
"429",2
"430",10
"431",12
"432",1
"433",3
"434",5
"435",8
"436",3
"437",7
"438",7
"439",8
"440",4
"441",7
"442",6
"443",9
"444",5
"445",6
"446",3
"447",5
"448",7
"449",7
"450",2
"451",5
"452",5
"453",4
"454",3
"455",9
"456",7
"457",4
"458",4
"459",2
"460",6
"461",3
"462",6
"463",4
"464",10
"465",5
"466",7
"467",6
"468",7
"469",4
"470",8
"471",10
"472",5
"473",4
"474",6
"475",6
"476",5
"477",4
"478",6
"479",5
"480",5
"481",10
"482",9
"483",7
"484",8
"485",8
"486",5
"487",6
"488",4
"489",6
"490",6
"491",6
"492",7
"493",11
"494",7
"495",5
"496",9
"497",6
"498",9
"499",3
"500",6
"501",10
"502",5
"503",5
"504",5
"505",2
"506",5
"507",6
"508",5
"509",10
"510",3
"511",7
"512",9
"513",6
"514",7
"515",9
"516",7
"517",3
"518",8
"519",5
"520",5
"521",5
"522",7
"523",11
"524",3
"525",6
"526",5
"527",3
"528",3
"529",5
"530",12
"531",3
"532",10
"533",8
"534",12
"535",6
"536",7
"537",3
"538",4
"539",7
"540",6
"541",8
"542",8
"543",7
"544",8
"545",4
"546",6
"547",11
"548",5
"549",4
"550",5
"551",6
"552",6
"553",11
"554",1
"555",10
"556",12
"557",8
"558",10
"559",14
"560",5
"561",3
"562",5
"563",6
"564",7
"565",5
"566",3
"567",5
"568",5
"569",10
"570",6
"571",7
"572",3
"573",6
"574",6
"575",7
"576",3
"577",5
"578",5
"579",7
"580",8
"581",4
"582",3
"583",8
"584",6
"585",4
"586",8
"587",6
"588",5
"589",9
"590",6
"591",2
"592",5
"593",8
"594",5
"595",10
"596",7
"597",8
"598",8
"599",5
"600",4
"601",8
"602",2
"603",6
"604",4
"605",2
"606",2
"607",4
"608",3
"609",5
"610",4
"611",5
"612",3
"613",1
"614",7
"615",6
"616",5
"617",9
"618",2
"619",6
"620",6
"621",7
"622",7
"623",6
"624",10
"625",7
"626",9
"627",9
"628",11
"629",7
"630",2
"631",8
"632",8
"633",2
"634",7
"635",6
"636",8
"637",7
"638",4
"639",4
"640",6
"641",7
"642",6
"643",10
"644",5
"645",5
"646",7
"647",10
"648",6
"649",6
"650",4
"651",6
"652",6
"653",5
"654",4
"655",8
"656",4
"657",6
"658",5
"659",3
"660",7
"661",5
"662",3
"663",7
"664",5
"665",5
"666",6
"667",2
"668",2
"669",6
"670",4
"671",4
"672",7
"673",4
"674",5
"675",4
"676",8
"677",5
"678",7
"679",5
"680",9
"681",5
"682",7
"683",2
"684",7
"685",6
"686",6
"687",5
