"","ID","pet","usefulness"
"141",141,"toad",2
"17",17,"cat",10
"185",185,"toad",3
"123",123,"rat",1
"69",69,"cat",6
"9",9,"rat",3
"112",112,"rat",2
"5",5,"cat",10
"96",96,"cat",5
"142",142,"toad",4
"21",21,"cat",5
"98",98,"cat",7
"156",156,"owl",7
"104",104,"owl",9
"126",126,"owl",8
"120",120,"cat",6
"10",10,"owl",7
"161",161,"owl",6
"40",40,"cat",5
"154",154,"owl",9
"45",45,"cat",6
"31",31,"owl",7
"170",170,"rat",2
"184",184,"toad",2
"82",82,"rat",4
"91",91,"cat",5
"38",38,"owl",8
"138",138,"cat",6
"71",71,"rat",1
"127",127,"cat",8
"18",18,"toad",3
"136",136,"rat",3
"13",13,"rat",2
"93",93,"toad",1
"1",1,"owl",7
"149",149,"rat",2
"25",25,"toad",4
"173",173,"owl",7
"117",117,"toad",1
"122",122,"owl",10
"159",159,"toad",4
"66",66,"cat",6
"58",58,"owl",9
"65",65,"cat",6
"100",100,"cat",10
"59",59,"rat",4
"180",180,"cat",7
"103",103,"owl",7
"26",26,"rat",2
"48",48,"rat",3
"192",192,"toad",4
"116",116,"rat",4
"22",22,"cat",10
"2",2,"rat",3
"187",187,"toad",4
"44",44,"cat",7
"57",57,"owl",9
"111",111,"owl",8
"144",144,"rat",3
"128",128,"cat",6
"118",118,"toad",4
"129",129,"cat",7
"36",36,"toad",4
"121",121,"owl",7
"153",153,"cat",7
"158",158,"owl",7
"186",186,"rat",4
"88",88,"toad",2
"79",79,"owl",6
"197",197,"toad",2
"115",115,"owl",9
"152",152,"rat",4
"166",166,"rat",1
"133",133,"rat",1
"140",140,"rat",3
"150",150,"rat",2
"146",146,"cat",7
"24",24,"rat",3
"39",39,"toad",3
"86",86,"toad",1
"74",74,"owl",8
"143",143,"owl",9
"49",49,"rat",3
"77",77,"cat",5
"119",119,"rat",4
"177",177,"owl",7
"107",107,"toad",1
"188",188,"toad",4
"46",46,"rat",4
"29",29,"owl",9
"3",3,"cat",10
"105",105,"owl",7
"30",30,"toad",2
"16",16,"toad",1
"171",171,"toad",2
"64",64,"toad",2
"168",168,"cat",5
"139",139,"cat",6
"102",102,"rat",2
"97",97,"toad",2
"75",75,"toad",4
"23",23,"cat",6
"55",55,"cat",5
"35",35,"toad",3
"14",14,"cat",10
"12",12,"owl",8
"54",54,"owl",6
"28",28,"owl",9
"163",163,"toad",1
"196",196,"cat",9
"148",148,"rat",2
"32",32,"rat",2
"190",190,"owl",10
"176",176,"toad",1
"85",85,"owl",9
"42",42,"rat",4
"165",165,"rat",2
"72",72,"rat",3
"37",37,"toad",4
"8",8,"cat",6
"164",164,"rat",4
"52",52,"toad",1
"73",73,"owl",9
"200",200,"toad",3
"83",83,"rat",1
"108",108,"rat",1
"147",147,"rat",1
"20",20,"cat",10
"61",61,"owl",7
"101",101,"owl",9
"7",7,"cat",6
"62",62,"owl",7
"110",110,"toad",2
"175",175,"toad",2
"76",76,"cat",9
"4",4,"rat",1
"167",167,"toad",1
"67",67,"owl",8
"15",15,"rat",2
"195",195,"cat",6
"87",87,"toad",4
"134",134,"toad",1
"80",80,"toad",2
"92",92,"cat",6
"113",113,"rat",1
"125",125,"toad",3
"6",6,"rat",4
"53",53,"rat",4
"191",191,"toad",1
"137",137,"toad",1
"50",50,"rat",3
"132",132,"cat",7
"151",151,"owl",10
"155",155,"cat",10
"183",183,"cat",6
"51",51,"cat",9
"106",106,"cat",6
"70",70,"rat",1
"68",68,"owl",7
"199",199,"owl",9
"169",169,"cat",9
"63",63,"owl",8
"99",99,"rat",2
"181",181,"cat",9
"109",109,"toad",3
"193",193,"rat",3
"56",56,"cat",6
"43",43,"owl",9
"60",60,"rat",3
"47",47,"owl",8
"179",179,"toad",1
"41",41,"rat",3
"174",174,"owl",6
"95",95,"cat",7
"182",182,"toad",2
"90",90,"owl",7
"198",198,"toad",2
"81",81,"owl",6
"11",11,"owl",6
"78",78,"cat",7
"114",114,"owl",10
"162",162,"owl",9
"89",89,"toad",1
"178",178,"cat",9
"27",27,"owl",9
"94",94,"rat",4
"194",194,"owl",7
"189",189,"toad",2
"33",33,"toad",3
"84",84,"toad",4
"34",34,"rat",3
"157",157,"rat",4
"131",131,"cat",9
"145",145,"owl",7
"124",124,"cat",9
"172",172,"owl",6
"135",135,"toad",3
"130",130,"cat",5
"19",19,"rat",4
"160",160,"toad",4
