"","ID","pet","weight"
"21",21,"cat",3465.65202292696
"166",166,"rat",370.089990515808
"100",100,"cat",3770.38692328451
"23",23,"cat",3808.09730886767
"84",84,"toad",1292.34283682387
"137",137,"toad",1130.26842068464
"25",25,"toad",1339.29522645881
"132",132,"cat",3137.66923346287
"149",149,"rat",350.298686369065
"89",89,"toad",2162.37056133114
"140",140,"rat",470.53953887819
"157",157,"rat",416.909449610379
"15",15,"rat",381.975536984812
"61",61,"owl",2169.19479577811
"154",154,"owl",2314.6691538501
"74",74,"owl",1860.7249292577
"162",162,"owl",2659.089047728
"24",24,"rat",316.04052378746
"124",124,"cat",3660.231592618
"108",108,"rat",332.818445705372
"146",146,"cat",3182.75515749395
"134",134,"toad",1920.66950953942
"32",32,"rat",324.578631857155
"116",116,"rat",347.345682628522
"106",106,"cat",3378.91067259918
"42",42,"rat",338.334218569326
"19",19,"rat",287.860263239807
"142",142,"toad",1193.65965788952
"76",76,"cat",3613.95487101642
"118",118,"toad",1708.70165863999
"119",119,"rat",380.785168819808
"64",64,"toad",1612.74287784514
"112",112,"rat",382.365481835442
"172",172,"owl",829.471998718162
"180",180,"cat",3808.86872068412
"193",193,"rat",404.401116313291
"160",160,"toad",2527.61759276304
"26",26,"rat",387.07470199364
"191",191,"toad",482.413618890912
"56",56,"cat",3514.51994851993
"133",133,"rat",407.221878564605
"85",85,"owl",1872.24571327956
"145",145,"owl",1627.12124592337
"57",57,"owl",2124.51310582262
"39",39,"toad",1745.79512785922
"66",66,"cat",3651.1057709888
"77",77,"cat",3662.71249497287
"148",148,"rat",373.954109621179
"177",177,"owl",1636.31191341122
"187",187,"toad",1621.84474233384
"111",111,"owl",1731.02879204371
"144",144,"rat",414.266501633048
"6",6,"rat",316.588043129761
"22",22,"cat",3155.78438314875
"62",62,"owl",1636.76426200417
"40",40,"cat",3590.663602502
"81",81,"owl",1955.94874192496
"11",11,"owl",2269.53584030897
"168",168,"cat",3835.68828135062
"58",58,"owl",2355.43276157947
"95",95,"cat",3454.24233391196
"175",175,"toad",1835.64012358898
"155",155,"cat",3692.57179063884
"44",44,"cat",3856.467123123
"10",10,"owl",1645.3948939988
"59",59,"rat",426.246371293681
"161",161,"owl",2162.43779735816
"131",131,"cat",3693.94703687704
"50",50,"rat",359.516025892023
"92",92,"cat",3563.97856732109
"171",171,"toad",1301.24059237611
"71",71,"rat",394.513905594973
"68",68,"owl",1425.26413951453
"126",126,"owl",2443.42084530816
"63",63,"owl",2579.44994240417
"181",181,"cat",3907.10028269454
"99",99,"rat",419.213821451169
"55",55,"cat",3452.39918812239
"102",102,"rat",331.07354935084
"109",109,"toad",2003.98379605508
"4",4,"rat",399.741207832132
"60",60,"rat",343.54507486667
"96",96,"cat",3475.04566850764
"36",36,"toad",1367.93125549072
"158",158,"owl",1842.97766679221
"188",188,"toad",1359.91304042791
"147",147,"rat",373.903426913847
"151",151,"owl",1573.56961558864
